Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Family_Size,Survived
22.0,S,7.25,0,3,male,1,1,0.0
38.0,C,71.2833,0,1,female,1,1,1.0
26.0,S,7925,0,3,female,0,0,1.0
35.0,S,53.1,0,1,female,1,1,1.0
35.0,S,8.05,0,3,male,0,0,0.0
30.0,Q,8.4583,0,3,male,0,0,0.0
54.0,S,51.8625,0,1,male,0,0,0.0
2.0,S,21075,1,3,male,3,4,0.0
27.0,S,11.1333,2,3,female,0,2,1.0
14.0,C,30.0708,0,2,female,1,1,1.0
4.0,S,16.7,1,3,female,1,2,1.0
58.0,S,26.55,0,1,female,0,0,1.0
20.0,S,8.05,0,3,male,0,0,0.0
39.0,S,31275,5,3,male,1,6,0.0
14.0,S,7.8542,0,3,female,0,0,0.0
55.0,S,16.0,0,2,female,0,0,1.0
2.0,Q,29125,1,3,male,4,5,0.0
30.0,S,13.0,0,2,male,0,0,1.0
31.0,S,18.0,0,3,female,1,1,0.0
35.5,C,7225,0,3,female,0,0,1.0
35.0,S,26.0,0,2,male,0,0,0.0
34.0,S,13.0,0,2,male,0,0,1.0
15.0,Q,8.0292,0,3,female,0,0,1.0
28.0,S,35.5,0,1,male,0,0,1.0
8.0,S,21075,1,3,female,3,4,0.0
38.0,S,31.3875,5,3,female,1,6,1.0
30.0,C,7225,0,3,male,0,0,0.0
19.0,S,263.0,2,1,male,3,5,0.0
22.0,Q,7.8792,0,3,female,0,0,1.0
30.0,S,7.8958,0,3,male,0,0,0.0
40.0,C,27.7208,0,1,male,0,0,0.0
35.5,C,146.5208,0,1,female,1,1,1.0
22.0,Q,7.75,0,3,female,0,0,1.0
66.0,S,10.5,0,2,male,0,0,0.0
28.0,C,82.1708,0,1,male,1,1,0.0
42.0,S,52.0,0,1,male,1,1,0.0
30.0,C,7.2292,0,3,male,0,0,1.0
21.0,S,8.05,0,3,male,0,0,0.0
18.0,S,18.0,0,3,female,2,2,0.0
14.0,C,11.2417,0,3,female,1,1,1.0
40.0,S,9475,0,3,female,1,1,0.0
27.0,S,21.0,0,2,female,1,1,0.0
30.0,C,7.8958,0,3,male,0,0,0.0
3.0,C,41.5792,2,2,female,1,3,1.0
19.0,Q,7.8792,0,3,female,0,0,1.0
30.0,S,8.05,0,3,male,0,0,0.0
30.0,Q,15.5,0,3,male,1,1,0.0
22.0,Q,7.75,0,3,female,0,0,1.0
30.0,C,21.6792,0,3,male,2,2,0.0
18.0,S,17.8,0,3,female,1,1,0.0
7.0,S,39.6875,1,3,male,4,5,0.0
21.0,S,7.8,0,3,male,0,0,0.0
49.0,C,76.7292,0,1,female,1,1,1.0
29.0,S,26.0,0,2,female,1,1,1.0
65.0,C,61.9792,1,1,male,0,1,0.0
30.0,S,35.5,0,1,male,0,0,1.0
21.0,S,10.5,0,2,female,0,0,1.0
28.5,C,7.2292,0,3,male,0,0,0.0
5.0,S,27.75,2,2,female,1,3,1.0
11.0,S,46.9,2,3,male,5,7,0.0
22.0,C,7.2292,0,3,male,0,0,0.0
38.0,S,80.0,0,1,female,0,0,1.0
45.0,S,83475,0,1,male,1,1,0.0
4.0,S,27.9,2,3,male,3,5,0.0
30.0,C,27.7208,0,1,male,0,0,0.0
4.0,C,15.2458,1,3,male,1,2,1.0
29.0,S,10.5,0,2,female,0,0,1.0
19.0,S,8.1583,0,3,male,0,0,0.0
17.0,S,7925,2,3,female,4,6,1.0
26.0,S,8.6625,0,3,male,2,2,0.0
32.0,S,10.5,0,2,male,0,0,0.0
16.0,S,46.9,2,3,female,5,7,0.0
21.0,S,73.5,0,2,male,0,0,0.0
26.0,C,14.4542,0,3,male,1,1,0.0
32.0,S,56.4958,0,3,male,0,0,1.0
25.0,S,7.65,0,3,male,0,0,0.0
30.0,S,7.8958,0,3,male,0,0,0.0
30.0,S,8.05,0,3,male,0,0,0.0
0.83,S,29.0,2,2,male,0,2,1.0
30.0,S,12475,0,3,female,0,0,1.0
22.0,S,9.0,0,3,male,0,0,0.0
29.0,S,9.5,0,3,male,0,0,1.0
22.0,Q,7.7875,0,3,female,0,0,1.0
28.0,S,47.1,0,1,male,0,0,0.0
17.0,S,10.5,0,2,female,0,0,1.0
33.0,S,15.85,0,3,female,3,3,1.0
16.0,S,34375,3,3,male,1,4,0.0
30.0,S,8.05,0,3,male,0,0,0.0
23.0,S,263.0,2,1,female,3,5,1.0
24.0,S,8.05,0,3,male,0,0,0.0
29.0,S,8.05,0,3,male,0,0,0.0
20.0,S,7.8542,0,3,male,0,0,0.0
46.0,S,61175,0,1,male,1,1,0.0
26.0,S,20575,2,3,male,1,3,0.0
59.0,S,7.25,0,3,male,0,0,0.0
30.0,S,8.05,0,3,male,0,0,0.0
71.0,C,34.6542,0,1,male,0,0,0.0
23.0,C,63.3583,1,1,male,0,1,1.0
34.0,S,23.0,1,2,female,0,1,1.0
34.0,S,26.0,0,2,male,1,1,0.0
28.0,S,7.8958,0,3,female,0,0,0.0
30.0,S,7.8958,0,3,male,0,0,0.0
21.0,S,77.2875,1,1,male,0,1,0.0
33.0,S,8.6542,0,3,male,0,0,0.0
37.0,S,7925,0,3,male,2,2,0.0
28.0,S,7.8958,0,3,male,0,0,0.0
21.0,S,7.65,0,3,female,0,0,1.0
30.0,S,7775,0,3,male,0,0,1.0
38.0,S,7.8958,0,3,male,0,0,0.0
22.0,Q,24.15,0,3,female,1,1,1.0
47.0,S,52.0,0,1,male,0,0,0.0
14.5,C,14.4542,0,3,female,1,1,0.0
22.0,S,8.05,0,3,male,0,0,0.0
20.0,S,9825,0,3,female,1,1,0.0
17.0,C,14.4583,0,3,female,0,0,0.0
21.0,S,7925,0,3,male,0,0,0.0
70.5,Q,7.75,0,3,male,0,0,0.0
29.0,S,21.0,0,2,male,1,1,0.0
24.0,C,247.5208,1,1,male,0,1,0.0
2.0,S,31275,2,3,female,4,6,0.0
21.0,S,73.5,0,2,male,2,2,0.0
30.0,S,8.05,0,3,male,0,0,0.0
32.5,C,30.0708,0,2,male,1,1,0.0
32.5,S,13.0,0,2,female,0,0,1.0
54.0,S,77.2875,1,1,male,0,1,0.0
12.0,C,11.2417,0,3,male,1,1,1.0
30.0,Q,7.75,0,3,male,0,0,0.0
24.0,S,7.1417,0,3,male,0,0,1.0
22.0,C,22.3583,1,3,female,1,2,1.0
45.0,S,6975,0,3,male,0,0,0.0
33.0,C,7.8958,0,3,male,0,0,0.0
20.0,S,7.05,0,3,male,0,0,0.0
47.0,S,14.5,0,3,female,1,1,0.0
29.0,S,26.0,0,2,female,1,1,1.0
25.0,S,13.0,0,2,male,0,0,0.0
23.0,C,15.0458,0,2,male,0,0,0.0
19.0,S,26.2833,2,1,female,0,2,1.0
37.0,S,53.1,0,1,male,1,1,0.0
16.0,S,9.2167,0,3,male,0,0,0.0
24.0,C,79.2,0,1,male,0,0,0.0
35.5,C,15.2458,2,3,female,0,2,0.0
22.0,S,7.75,0,3,female,0,0,1.0
24.0,S,15.85,0,3,female,1,1,1.0
19.0,Q,6.75,0,3,male,0,0,0.0
18.0,S,11.5,0,2,male,0,0,0.0
19.0,S,36.75,1,2,male,1,2,0.0
27.0,S,7.7958,0,3,male,0,0,1.0
9.0,S,34375,2,3,female,2,4,0.0
36.5,S,26.0,2,2,male,0,2,0.0
42.0,S,13.0,0,2,male,0,0,0.0
51.0,S,12525,0,2,male,0,0,0.0
22.0,S,66.6,0,1,female,1,1,1.0
55.5,S,8.05,0,3,male,0,0,0.0
40.5,S,14.5,2,3,male,0,2,0.0
30.0,S,7.3125,0,3,male,0,0,0.0
51.0,C,61.3792,1,1,male,0,1,0.0
16.0,Q,7.7333,0,3,female,0,0,1.0
30.0,S,8.05,0,3,male,0,0,0.0
30.0,S,8.6625,0,3,male,0,0,0.0
4.0,S,69.55,2,3,male,8,10,0.0
44.0,S,16.1,1,3,male,0,1,0.0
40.0,S,15.75,0,2,female,0,0,1.0
26.0,S,7775,0,3,male,0,0,0.0
17.0,S,8.6625,0,3,male,0,0,0.0
1.0,S,39.6875,1,3,male,4,5,0.0
9.0,S,20525,2,3,male,0,2,1.0
35.5,S,55.0,1,1,female,0,1,1.0
45.0,S,27.9,4,3,female,1,5,0.0
30.0,S,25925,0,1,male,0,0,0.0
28.0,S,56.4958,0,3,male,0,0,0.0
61.0,S,33.5,0,1,male,0,0,0.0
4.0,Q,29125,1,3,male,4,5,0.0
1.0,S,11.1333,1,3,female,1,2,1.0
21.0,S,7925,0,3,male,0,0,0.0
56.0,C,30.6958,0,1,male,0,0,0.0
18.0,S,7.8542,1,3,male,1,2,0.0
4.0,S,25.4667,1,3,male,3,4,0.0
50.0,C,28.7125,0,1,female,0,0,0.0
